employee,month,score,messages,avg_msg_length,total_words,avg_words,pos_ratio,neg_ratio
don.baughman@enron.com,2010-08,2,2,124.5,48,24.0,1.0,0.0
don.baughman@enron.com,2010-09,3,7,130.42857142857142,145,20.714285714285715,0.5714285714285714,0.14285714285714285
don.baughman@enron.com,2010-10,1,1,79.0,15,15.0,1.0,0.0
don.baughman@enron.com,2010-11,5,9,166.0,247,27.444444444444443,0.6666666666666666,0.1111111111111111
don.baughman@enron.com,2010-12,13,18,286.3333333333333,800,44.44444444444444,0.7777777777777778,0.05555555555555555
don.baughman@enron.com,2011-01,3,9,244.55555555555554,340,37.77777777777778,0.4444444444444444,0.1111111111111111
don.baughman@enron.com,2011-02,0,2,387.0,138,69.0,0.5,0.5
don.baughman@enron.com,2011-03,1,4,472.75,266,66.5,0.5,0.25
don.baughman@enron.com,2011-04,4,5,227.6,172,34.4,0.8,0.0
don.baughman@enron.com,2011-05,8,12,479.75,917,76.41666666666667,0.75,0.08333333333333333
don.baughman@enron.com,2011-06,2,3,197.66666666666666,86,28.666666666666668,0.6666666666666666,0.0
don.baughman@enron.com,2011-07,3,5,273.8,244,48.8,0.6,0.0
don.baughman@enron.com,2011-08,7,12,229.83333333333334,452,37.666666666666664,0.6666666666666666,0.08333333333333333
don.baughman@enron.com,2011-09,9,15,238.6,585,39.0,0.6666666666666666,0.06666666666666667
don.baughman@enron.com,2011-10,9,9,281.77777777777777,400,44.44444444444444,1.0,0.0
don.baughman@enron.com,2011-11,5,8,305.625,421,52.625,0.625,0.0
don.baughman@enron.com,2011-12,5,7,338.7142857142857,399,57.0,0.7142857142857143,0.0
eric.bass@enron.com,2010-01,9,10,254.3,416,41.6,0.9,0.0
eric.bass@enron.com,2010-02,2,4,417.5,300,75.0,0.75,0.25
eric.bass@enron.com,2010-03,6,11,223.8181818181818,380,34.54545454545455,0.6363636363636364,0.09090909090909091
eric.bass@enron.com,2010-04,2,2,230.0,86,43.0,1.0,0.0
eric.bass@enron.com,2010-05,6,7,444.2857142857143,514,73.42857142857143,0.8571428571428571,0.0
eric.bass@enron.com,2010-06,1,1,430.0,65,65.0,1.0,0.0
eric.bass@enron.com,2010-07,16,19,248.3684210526316,782,41.1578947368421,0.8947368421052632,0.05263157894736842
eric.bass@enron.com,2010-08,2,2,442.0,116,58.0,1.0,0.0
eric.bass@enron.com,2010-09,11,15,282.46666666666664,692,46.13333333333333,0.7333333333333333,0.0
eric.bass@enron.com,2010-10,5,9,283.6666666666667,405,45.0,0.6666666666666666,0.1111111111111111
eric.bass@enron.com,2010-11,5,5,218.6,176,35.2,1.0,0.0
eric.bass@enron.com,2010-12,2,2,391.0,131,65.5,1.0,0.0
eric.bass@enron.com,2011-01,9,12,221.0,456,38.0,0.75,0.0
eric.bass@enron.com,2011-02,-1,1,107.0,20,20.0,0.0,1.0
eric.bass@enron.com,2011-03,4,9,449.8888888888889,610,67.77777777777777,0.5555555555555556,0.1111111111111111
eric.bass@enron.com,2011-04,8,11,257.72727272727275,448,40.72727272727273,0.8181818181818182,0.09090909090909091
eric.bass@enron.com,2011-05,6,16,315.0,787,49.1875,0.625,0.25
eric.bass@enron.com,2011-06,16,22,361.77272727272725,1290,58.63636363636363,0.7727272727272727,0.045454545454545456
eric.bass@enron.com,2011-07,5,5,525.6,450,90.0,1.0,0.0
eric.bass@enron.com,2011-08,4,7,253.14285714285714,309,44.142857142857146,0.7142857142857143,0.14285714285714285
eric.bass@enron.com,2011-09,7,13,281.7692307692308,590,45.38461538461539,0.6153846153846154,0.07692307692307693
eric.bass@enron.com,2011-10,7,9,229.66666666666666,300,33.333333333333336,0.7777777777777778,0.0
eric.bass@enron.com,2011-11,1,1,83.0,16,16.0,1.0,0.0
eric.bass@enron.com,2011-12,12,17,277.52941176470586,731,43.0,0.7647058823529411,0.058823529411764705
john.arnold@enron.com,2010-01,5,7,239.85714285714286,259,37.0,0.7142857142857143,0.0
john.arnold@enron.com,2010-02,12,18,300.77777777777777,848,47.111111111111114,0.6666666666666666,0.0
john.arnold@enron.com,2010-03,7,18,301.8333333333333,833,46.27777777777778,0.4444444444444444,0.05555555555555555
john.arnold@enron.com,2010-04,8,9,323.8888888888889,457,50.77777777777778,0.8888888888888888,0.0
john.arnold@enron.com,2010-05,3,10,317.6,545,54.5,0.5,0.2
john.arnold@enron.com,2010-06,8,15,327.06666666666666,759,50.6,0.7333333333333333,0.2
john.arnold@enron.com,2010-07,5,7,134.85714285714286,163,23.285714285714285,0.7142857142857143,0.0
john.arnold@enron.com,2010-08,7,10,336.4,606,60.6,0.7,0.0
john.arnold@enron.com,2010-09,7,13,242.0,479,36.84615384615385,0.6153846153846154,0.07692307692307693
john.arnold@enron.com,2010-10,7,11,377.45454545454544,631,57.36363636363637,0.6363636363636364,0.0
john.arnold@enron.com,2010-11,8,11,178.9090909090909,312,28.363636363636363,0.8181818181818182,0.09090909090909091
john.arnold@enron.com,2010-12,16,21,201.1904761904762,687,32.714285714285715,0.7619047619047619,0.0
john.arnold@enron.com,2011-01,2,3,175.66666666666666,97,32.333333333333336,0.6666666666666666,0.0
john.arnold@enron.com,2011-02,15,19,408.36842105263156,1275,67.10526315789474,0.7894736842105263,0.0
john.arnold@enron.com,2011-03,9,10,318.0,483,48.3,0.9,0.0
john.arnold@enron.com,2011-04,2,2,193.0,66,33.0,1.0,0.0
john.arnold@enron.com,2011-05,9,11,222.0,376,34.18181818181818,0.8181818181818182,0.0
john.arnold@enron.com,2011-06,6,7,284.7142857142857,354,50.57142857142857,0.8571428571428571,0.0
john.arnold@enron.com,2011-07,6,8,310.25,392,49.0,0.875,0.125
john.arnold@enron.com,2011-08,12,12,290.75,528,44.0,1.0,0.0
john.arnold@enron.com,2011-09,1,1,189.0,30,30.0,1.0,0.0
john.arnold@enron.com,2011-10,10,18,377.3333333333333,1094,60.77777777777778,0.7222222222222222,0.16666666666666666
john.arnold@enron.com,2011-11,10,11,359.3636363636364,637,57.90909090909091,0.9090909090909091,0.0
john.arnold@enron.com,2011-12,4,4,389.0,262,65.5,1.0,0.0
johnny.palmer@enron.com,2010-01,3,6,220.33333333333334,198,33.0,0.6666666666666666,0.16666666666666666
johnny.palmer@enron.com,2010-02,10,18,338.6111111111111,971,53.94444444444444,0.7222222222222222,0.16666666666666666
johnny.palmer@enron.com,2010-03,5,11,252.72727272727272,393,35.72727272727273,0.6363636363636364,0.18181818181818182
johnny.palmer@enron.com,2010-04,5,8,130.875,169,21.125,0.625,0.0
johnny.palmer@enron.com,2010-05,1,1,125.0,19,19.0,1.0,0.0
johnny.palmer@enron.com,2010-06,7,10,498.1,839,83.9,0.8,0.1
johnny.palmer@enron.com,2010-07,2,4,268.75,175,43.75,0.75,0.25
johnny.palmer@enron.com,2010-08,6,8,345.625,431,53.875,0.75,0.0
johnny.palmer@enron.com,2010-09,7,12,310.3333333333333,573,47.75,0.6666666666666666,0.08333333333333333
johnny.palmer@enron.com,2010-10,12,15,210.93333333333334,512,34.13333333333333,0.8666666666666667,0.06666666666666667
johnny.palmer@enron.com,2010-11,1,1,197.0,40,40.0,1.0,0.0
johnny.palmer@enron.com,2010-12,1,1,384.0,59,59.0,1.0,0.0
johnny.palmer@enron.com,2011-01,9,12,294.1666666666667,583,48.583333333333336,0.8333333333333334,0.08333333333333333
johnny.palmer@enron.com,2011-02,7,17,297.94117647058823,861,50.64705882352941,0.5294117647058824,0.11764705882352941
johnny.palmer@enron.com,2011-03,0,1,20.0,3,3.0,0.0,0.0
johnny.palmer@enron.com,2011-04,8,16,249.625,671,41.9375,0.6875,0.1875
johnny.palmer@enron.com,2011-05,5,6,348.5,327,54.5,0.8333333333333334,0.0
johnny.palmer@enron.com,2011-06,13,18,288.8888888888889,806,44.77777777777778,0.7777777777777778,0.05555555555555555
johnny.palmer@enron.com,2011-07,6,12,166.66666666666666,312,26.0,0.5833333333333334,0.08333333333333333
johnny.palmer@enron.com,2011-08,6,15,282.0,701,46.733333333333334,0.5333333333333333,0.13333333333333333
johnny.palmer@enron.com,2011-09,7,9,244.11111111111111,361,40.111111111111114,0.7777777777777778,0.0
johnny.palmer@enron.com,2011-10,2,2,179.5,55,27.5,1.0,0.0
johnny.palmer@enron.com,2011-11,6,7,338.2857142857143,382,54.57142857142857,0.8571428571428571,0.0
johnny.palmer@enron.com,2011-12,1,3,145.0,65,21.666666666666668,0.6666666666666666,0.3333333333333333
kayne.coulter@enron.com,2010-01,14,22,211.0,688,31.272727272727273,0.6363636363636364,0.0
kayne.coulter@enron.com,2010-02,-1,8,407.75,497,62.125,0.25,0.375
kayne.coulter@enron.com,2010-03,3,4,176.0,97,24.25,0.75,0.0
kayne.coulter@enron.com,2010-04,7,16,318.625,758,47.375,0.6875,0.25
kayne.coulter@enron.com,2010-05,3,4,265.0,149,37.25,0.75,0.0
kayne.coulter@enron.com,2010-06,2,4,212.25,123,30.75,0.5,0.0
kayne.coulter@enron.com,2010-07,4,6,214.33333333333334,210,35.0,0.8333333333333334,0.16666666666666666
kayne.coulter@enron.com,2010-08,4,7,438.42857142857144,501,71.57142857142857,0.7142857142857143,0.14285714285714285
kayne.coulter@enron.com,2010-09,2,2,228.0,79,39.5,1.0,0.0
kayne.coulter@enron.com,2010-10,0,3,134.66666666666666,65,21.666666666666668,0.3333333333333333,0.3333333333333333
kayne.coulter@enron.com,2010-11,4,5,580.6,447,89.4,0.8,0.0
kayne.coulter@enron.com,2010-12,3,6,348.6666666666667,323,53.833333333333336,0.6666666666666666,0.16666666666666666
kayne.coulter@enron.com,2011-01,1,5,188.8,146,29.2,0.4,0.2
kayne.coulter@enron.com,2011-02,4,10,265.8,472,47.2,0.6,0.2
kayne.coulter@enron.com,2011-03,4,4,349.75,228,57.0,1.0,0.0
kayne.coulter@enron.com,2011-04,5,9,257.22222222222223,375,41.666666666666664,0.6666666666666666,0.1111111111111111
kayne.coulter@enron.com,2011-05,1,1,74.0,14,14.0,1.0,0.0
kayne.coulter@enron.com,2011-06,-1,1,73.0,15,15.0,0.0,1.0
kayne.coulter@enron.com,2011-07,1,1,48.0,8,8.0,1.0,0.0
kayne.coulter@enron.com,2011-08,1,1,159.0,28,28.0,1.0,0.0
kayne.coulter@enron.com,2011-09,12,13,268.6923076923077,574,44.15384615384615,0.9230769230769231,0.0
kayne.coulter@enron.com,2011-10,9,17,317.1764705882353,829,48.76470588235294,0.6470588235294118,0.11764705882352941
kayne.coulter@enron.com,2011-11,15,16,314.5,752,47.0,0.9375,0.0
kayne.coulter@enron.com,2011-12,8,9,375.3333333333333,524,58.22222222222222,0.8888888888888888,0.0
lydia.delgado@enron.com,2010-01,9,13,302.15384615384613,635,48.84615384615385,0.7692307692307693,0.07692307692307693
lydia.delgado@enron.com,2010-02,1,1,461.0,85,85.0,1.0,0.0
lydia.delgado@enron.com,2010-03,5,11,366.1818181818182,600,54.54545454545455,0.6363636363636364,0.18181818181818182
lydia.delgado@enron.com,2010-04,7,12,194.33333333333334,363,30.25,0.5833333333333334,0.0
lydia.delgado@enron.com,2010-05,6,8,367.0,438,54.75,0.75,0.0
lydia.delgado@enron.com,2010-06,6,11,233.36363636363637,427,38.81818181818182,0.5454545454545454,0.0
lydia.delgado@enron.com,2010-07,12,18,277.3888888888889,786,43.666666666666664,0.7222222222222222,0.05555555555555555
lydia.delgado@enron.com,2010-08,5,10,209.1,349,34.9,0.6,0.1
lydia.delgado@enron.com,2010-09,4,5,310.2,244,48.8,0.8,0.0
lydia.delgado@enron.com,2010-10,12,20,237.2,728,36.4,0.65,0.05
lydia.delgado@enron.com,2010-11,5,11,227.9090909090909,412,37.45454545454545,0.6363636363636364,0.18181818181818182
lydia.delgado@enron.com,2010-12,10,13,263.53846153846155,572,44.0,0.7692307692307693,0.0
lydia.delgado@enron.com,2011-01,5,6,244.0,248,41.333333333333336,0.8333333333333334,0.0
lydia.delgado@enron.com,2011-02,15,21,284.0952380952381,961,45.76190476190476,0.7619047619047619,0.047619047619047616
lydia.delgado@enron.com,2011-03,7,7,421.0,478,68.28571428571429,1.0,0.0
lydia.delgado@enron.com,2011-04,11,20,263.8,874,43.7,0.7,0.15
lydia.delgado@enron.com,2011-05,20,25,279.0,1107,44.28,0.8,0.0
lydia.delgado@enron.com,2011-06,5,6,210.16666666666666,201,33.5,0.8333333333333334,0.0
lydia.delgado@enron.com,2011-07,-1,1,153.0,24,24.0,0.0,1.0
lydia.delgado@enron.com,2011-08,12,14,339.7857142857143,736,52.57142857142857,0.8571428571428571,0.0
lydia.delgado@enron.com,2011-09,7,7,223.57142857142858,267,38.142857142857146,1.0,0.0
lydia.delgado@enron.com,2011-10,11,20,376.4,1161,58.05,0.6,0.05
lydia.delgado@enron.com,2011-11,3,7,220.71428571428572,253,36.142857142857146,0.5714285714285714,0.14285714285714285
lydia.delgado@enron.com,2011-12,11,17,296.6470588235294,823,48.411764705882355,0.7058823529411765,0.058823529411764705
patti.thompson@enron.com,2010-01,6,10,287.7,434,43.4,0.7,0.1
patti.thompson@enron.com,2010-02,1,1,716.0,130,130.0,1.0,0.0
patti.thompson@enron.com,2010-03,4,8,217.625,296,37.0,0.75,0.25
patti.thompson@enron.com,2010-04,6,11,308.1818181818182,541,49.18181818181818,0.7272727272727273,0.18181818181818182
patti.thompson@enron.com,2010-05,7,16,263.9375,656,41.0,0.5625,0.125
patti.thompson@enron.com,2010-06,8,12,362.6666666666667,702,58.5,0.75,0.08333333333333333
patti.thompson@enron.com,2010-07,1,2,219.0,60,30.0,0.5,0.0
patti.thompson@enron.com,2010-08,1,1,614.0,119,119.0,1.0,0.0
patti.thompson@enron.com,2010-09,8,10,394.5,627,62.7,0.9,0.1
patti.thompson@enron.com,2010-10,9,17,194.88235294117646,568,33.411764705882355,0.6470588235294118,0.11764705882352941
patti.thompson@enron.com,2010-11,8,12,315.5,587,48.916666666666664,0.75,0.08333333333333333
patti.thompson@enron.com,2010-12,1,1,241.0,45,45.0,1.0,0.0
patti.thompson@enron.com,2011-01,4,6,222.0,185,30.833333333333332,0.6666666666666666,0.0
patti.thompson@enron.com,2011-02,2,3,167.33333333333334,87,29.0,0.6666666666666666,0.0
patti.thompson@enron.com,2011-03,14,17,263.94117647058823,703,41.35294117647059,0.8235294117647058,0.0
patti.thompson@enron.com,2011-04,7,7,322.42857142857144,366,52.285714285714285,1.0,0.0
patti.thompson@enron.com,2011-05,1,1,617.0,102,102.0,1.0,0.0
patti.thompson@enron.com,2011-06,6,9,184.11111111111111,285,31.666666666666668,0.6666666666666666,0.0
patti.thompson@enron.com,2011-07,14,27,308.4074074074074,1339,49.592592592592595,0.6666666666666666,0.14814814814814814
patti.thompson@enron.com,2011-08,7,12,379.5,692,57.666666666666664,0.6666666666666666,0.08333333333333333
patti.thompson@enron.com,2011-09,8,11,321.0,488,44.36363636363637,0.8181818181818182,0.09090909090909091
patti.thompson@enron.com,2011-10,5,6,221.16666666666666,225,37.5,0.8333333333333334,0.0
patti.thompson@enron.com,2011-11,7,13,287.0769230769231,629,48.38461538461539,0.6923076923076923,0.15384615384615385
patti.thompson@enron.com,2011-12,12,12,354.5,638,53.166666666666664,1.0,0.0
rhonda.denton@enron.com,2010-01,1,3,210.0,99,33.0,0.3333333333333333,0.0
rhonda.denton@enron.com,2010-02,4,6,350.0,331,55.166666666666664,0.8333333333333334,0.16666666666666666
rhonda.denton@enron.com,2010-03,1,1,164.0,27,27.0,1.0,0.0
rhonda.denton@enron.com,2010-04,7,11,256.54545454545456,419,38.09090909090909,0.6363636363636364,0.0
rhonda.denton@enron.com,2010-05,4,6,385.3333333333333,331,55.166666666666664,0.6666666666666666,0.0
rhonda.denton@enron.com,2010-06,3,4,338.5,250,62.5,0.75,0.0
rhonda.denton@enron.com,2010-07,3,3,373.3333333333333,179,59.666666666666664,1.0,0.0
rhonda.denton@enron.com,2010-08,10,17,290.8235294117647,792,46.588235294117645,0.7058823529411765,0.11764705882352941
rhonda.denton@enron.com,2010-09,4,5,169.2,150,30.0,0.8,0.0
rhonda.denton@enron.com,2010-10,1,2,354.0,115,57.5,0.5,0.0
rhonda.denton@enron.com,2010-11,8,9,279.77777777777777,396,44.0,0.8888888888888888,0.0
rhonda.denton@enron.com,2010-12,4,10,203.2,322,32.2,0.6,0.2
rhonda.denton@enron.com,2011-01,8,11,293.0,523,47.54545454545455,0.8181818181818182,0.09090909090909091
rhonda.denton@enron.com,2011-02,2,9,159.88888888888889,234,26.0,0.3333333333333333,0.1111111111111111
rhonda.denton@enron.com,2011-03,12,14,242.0,560,40.0,0.8571428571428571,0.0
rhonda.denton@enron.com,2011-04,3,6,199.83333333333334,156,26.0,0.5,0.0
rhonda.denton@enron.com,2011-05,8,10,312.3,494,49.4,0.9,0.1
rhonda.denton@enron.com,2011-06,6,12,255.75,528,44.0,0.5833333333333334,0.08333333333333333
rhonda.denton@enron.com,2011-07,3,4,255.5,166,41.5,0.75,0.0
rhonda.denton@enron.com,2011-08,1,1,312.0,50,50.0,1.0,0.0
rhonda.denton@enron.com,2011-09,9,10,285.0,451,45.1,0.9,0.0
rhonda.denton@enron.com,2011-10,0,2,218.0,45,22.5,0.0,0.0
rhonda.denton@enron.com,2011-11,2,5,120.2,73,14.6,0.6,0.2
rhonda.denton@enron.com,2011-12,8,11,253.27272727272728,433,39.36363636363637,0.7272727272727273,0.0
sally.beck@enron.com,2010-01,2,9,249.44444444444446,319,35.44444444444444,0.4444444444444444,0.2222222222222222
sally.beck@enron.com,2010-02,3,6,140.5,118,19.666666666666668,0.6666666666666666,0.16666666666666666
sally.beck@enron.com,2010-03,11,12,257.6666666666667,510,42.5,0.9166666666666666,0.0
sally.beck@enron.com,2010-04,3,6,295.0,297,49.5,0.6666666666666666,0.16666666666666666
sally.beck@enron.com,2010-05,6,12,320.3333333333333,624,52.0,0.6666666666666666,0.16666666666666666
sally.beck@enron.com,2010-06,8,13,232.53846153846155,520,40.0,0.6923076923076923,0.07692307692307693
sally.beck@enron.com,2010-07,9,14,283.0,599,42.785714285714285,0.7142857142857143,0.07142857142857142
sally.beck@enron.com,2010-08,15,25,211.16,815,32.6,0.72,0.12
sally.beck@enron.com,2010-09,5,7,264.7142857142857,297,42.42857142857143,0.7142857142857143,0.0
sally.beck@enron.com,2010-10,2,7,247.14285714285714,197,28.142857142857142,0.42857142857142855,0.14285714285714285
sally.beck@enron.com,2010-11,8,12,309.6666666666667,585,48.75,0.75,0.08333333333333333
sally.beck@enron.com,2010-12,8,11,371.27272727272725,664,60.36363636363637,0.8181818181818182,0.09090909090909091
sally.beck@enron.com,2011-01,7,10,283.3,482,48.2,0.8,0.1
sally.beck@enron.com,2011-02,3,6,584.1666666666666,588,98.0,0.6666666666666666,0.16666666666666666
sally.beck@enron.com,2011-03,5,12,382.25,696,58.0,0.5833333333333334,0.16666666666666666
sally.beck@enron.com,2011-04,0,1,276.0,42,42.0,0.0,0.0
sally.beck@enron.com,2011-05,8,9,194.77777777777777,261,29.0,0.8888888888888888,0.0
sally.beck@enron.com,2011-06,2,2,92.5,29,14.5,1.0,0.0
sally.beck@enron.com,2011-07,10,14,225.28571428571428,509,36.357142857142854,0.7857142857142857,0.07142857142857142
sally.beck@enron.com,2011-08,3,14,402.92857142857144,900,64.28571428571429,0.5714285714285714,0.35714285714285715
sally.beck@enron.com,2011-09,0,1,324.0,62,62.0,0.0,0.0
sally.beck@enron.com,2011-10,5,7,209.0,237,33.857142857142854,0.8571428571428571,0.14285714285714285
sally.beck@enron.com,2011-11,5,8,363.75,419,52.375,0.625,0.0
sally.beck@enron.com,2011-12,6,9,271.55555555555554,370,41.111111111111114,0.6666666666666666,0.0
